question,answers
"""According to the nursery rhyme """"Polly put the kettle on"""", who took it off again?""",Sukey
What does a person with narcolepsy do?,Falls asleep
"Abraham Ortelius, a Flemish cartographer and geographer, is generally recognised as the creator of the first what in 1570 ?",Modern atlas
What is the name of the leg action used in breaststroke?,Frog kick
"""A US TV series (1974 to 1982) was called """"The Little House ... """" where?""",On The Prairie
"""Who created the comic strip """"The Wizard of Id""""?""",Brant Parker and Johnny Hart
Lavalava is a word common in the South Pacific. What does it mean?,A rectangular cloth worn as a skirt
"""What was the setting for the 1980 film """"Fame""""?""",New York High School of Performing Arts
Tony Hawk won 9 gold medals at what annual event between 1995 and 2002?,Summer X-Games
"""In the British version of """"The Apprentice"""", which first went to air in February 2005, who do the contestants try to get a job with?""",Alan Sugar (Lord Sugar)
"French actress Catherine Deneuve has been married once, from 1965 to 1972, to whom?",Photographer David Bailey
Who became the head of the UK's Lawn Tennis Association in 2006?,Roger Draper
What is the motto of the Hells Angels?,"When we do right, nobody remembers. When we do wrong, nobody forgets"
"What multi-user adventure game was developed from 1978 by Roy Trubshaw and Richard Bartle from 1980, students at Essex University in the UK, that revolved around gaining points till one achieved the wizard rank, giving the player immortality and certain powers over mortals?",MUD (Multi-User Dungeon)
"""Who wrote the books """"Fourplay"""" (published in 2001), """"The Ex Files"""" (2003), """"dot.homme"""" (2004), """"Second Wives Club"""" (2005) and """"Love @ First Site"""" (2005)?""",Jane Moore
Formaggio marcio is notable for containing what?,Live insect larvae
"""The lyric """"Then I got Mary pregnant and man that's all she wrote, and for my 19th birthday I got a union card and a wedding coat"""" is from which song?""","""""""The River"""" by Bruce Springsteen"""
"Where did the Phnom Penh stampede occur, on 22 November 2010 when 378 people died and upwards of 755 more were injured?",On a bridge
"Which professional surfer who died on 2 November 2010, the only surfer to have won a title at every venue on the ASP calendar, had won 3 world titles (2002, 2003, 2004) and as recently as 3 September 2010 had won the Billabong Pro in Tahiti?",Andy Irons
"What is the British Engineerium, in Hove?",An engineering and steam power museum
Where would one find the Appleton layer?,The earth's upper atmosphere
"""What was the cause of the sinking of the """"Lusitania"""" in May 1915 and the subsequent deaths of 1,198 people?""",She was torpedoed
"""In music, what word means """"to be performed without any break between - smooth and sustained""""?""",Legato
What is Judge Judy's last name?,Sheindlin
"""Who is the author of the fiction books """"Lace"""" (published in 1982), """"Lace 2"""" (1985), """"Savages"""" (1987), """"Crimson"""" (1992), """"Tiger Eyes"""" (1994), """"Revenge of Mimi Quinn"""" (1998) and """"The Amazing Umbrella Shop"""" (1990)?""",Shirley Conran
"What was Ellis Island, in New York harbour, used for from 1892 to 1954?",Processing immigrants to the USA
"The first playoff tiebreaker in Major League Baseball history was held on 1 & 3 October 1946, a best-of-three playoff to decide the winner of the MLB National League (NL) conference, between which 2 teams?",St. Louis Cardinals and Brooklyn Dodgers
"""In the British TV series """"Til Death Do Us Part"""", who played Alf Garnett's wife?""",Dandy Nichols
Humphrey Bogart and Lauren Bacall are mentioned in what 1982 hit song?,"""""""Key Largo"""" by Bertie Higgins"""
"""Who worked on the film scripts for """"Barbarella"""", """"Dr Strangelove """", """"Easy Rider"""", """"Candy"""" and """"The Magic Christian""""?""",Terry Southern
"""Who is being spoken about with the Shakespearean line """"Frailty, thy name is woman""""?""",Hamlet's mother
"Which member of the trio ZZ Top does not have a chest-length beard, only a trimmed mustache?",Frank Beard (drums and percussion)
"""What was the subtitle of the 1904 play """"Peter Pan"""" by J M Barrie?""",The Boy Who Wouldn't Grow Up
"Which famous English model of the 1960s was once romantically linked to '60s photographer David Bailey and actor Terence Stamp, but married photographer Michael Cox, with whom she runs a small hotel in Penzance, Cornwall?",Jean Shrimpton
Neophobia is the fear of what?,New things
"Which musical includes the characters Jean Valjean, Javert, Fantine, Cosette, ponine, Thnardier, Gavroche, Enjolras, Grantaire and Marius?",Les Misrables
"The Spanish throne had been vacant since 1936, and on 22 November 1975, Juan Carlos was designated King. What event caused this?",The death of General Franco
"""Who did """"True Blood"""" star Anna Paquin marry on 21 August 2010?""",Stephen Moyer
What former Grand Prix motorcycle racer from New Zealand published his autobiography in late 2010?,Graeme Crosby
An act passed on 5 July 1900 and given Royal Assent by Queen Victoria on 9 July 1900 led to what milestone in the constitutional history of Australia?,Creation of the Commonwealth of Australia
"On 12 November 1991, where in Dili were pro-independence student demonstrators who were protesting the Indonesian occupation of East Timor, shot at by Indonesian forces, killing at least 250?",The Santa Cruz cemetery
The Iguazu Falls are on the border of which two countries?,Brazil & Argentina
Leaders in a cub scout pack are named after the characters in which book?,"""""""The Jungle Book"""" by Rudyard Kipling"""
"At the 1976 Summer Olympics, who was the only female competitor not to have a sex test?",Princess Anne of the UK
"""In the fairy tale """"Sleeping Beauty"""", who kissed the princess to wake her up?""",Handsome Prince
"""Which 18th century self-taught Liverpudlian, who studied human anatomy and spent 18 months dissecting horses, is best known for his paintings of horses (such as """"Whistlejacket""""), sometimes accompanied by hounds, and of animals such as lions, tigers, giraffes, monkeys, and rhinoceroses?""",George Stubbs
Who beat Muhammad Ali in his last professional fight in 1982?,Trevor Berbick
"In France, what is the SNCF?",Railway network
In 1635 Robert Hooke developed what?,The law of elasticity
"In central and northern Italy, the Guelphs, who supported the Pope, and Ghibellines, who supported the Holy Roman Emperor, became a metaphor for rivalry between individual families and cities. When was this?",12th and 13th centuries
Charles Lindbergh's first non-stop flight across the Atlantic Ocean in 1927 was between which two cities?,"New York and Paris, France"
What is a nickname for Inverness?,The Capital of the Highlands
"""Who published their autobiography """"Life is a Rollercoaster"""" in 2000?""",Ronan Keating
The Michael Phelps Foundation Golf Classic is an annual fundraiser for what?,Growing the sport of swimming and promoting healthier lifestyles
The Battle of Agincourt in 1415 was fought between which two countries?,England and France
"At the 2010 Grammy Awards, who set a new record for the most wins by a female artist in one night, winning six?",Beyonc
What are the Russian steppes?,Treeless plains
Where do arboreal animals live?,In trees
"What kind of window is made of one or more movable panels that form a frame to hold panes of glass where the glazed panels are opened by sliding vertically, or horizontally?",Sash
"Between 1696 and 1851, the British government imposed a tax on what part of a house?",Number of windows
"""The slang words """"cool"""", """"groovy"""", """"cat"""", and """"chick"""" came from the jazz music culture in what decades'?""",1920s and 1930s
Who is thought to have first invented gunpowder?,Chinese alchemists
A non-SI unit of radioactivity is named after ...?,Marie and Pierre Curie
"""What is the literal translation of the French phrase """"cul de sac""""?""",The bottom of the bag
What were the first names of author D H Lawrence?,David Herbert
"""In 1968, which book by Philip K Dick was published that became the basis for the 1982 film """"Blade Runner""""?""",Do Androids Dream of Electric Sheep?
The Mohs scale measures what?,Hardness of minerals
"""John the Baptist lived in the wilderness of Judea between Jerusalem and the Dead Sea, """"his raiment of camel's hair, and a leather girdle about his loins; and his meat was ..."""" what?""",Locusts and wild honey
In falconry what is a tiercel?,A male hawk or falcon
What influential and at times highly controversial book was published in November 1859?,"""""""On the Origin of Species"""" by Charles Darwin"""
